feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target,category_1_encoded,category_2_Region A,category_2_Region B,category_2_Region C,feature_1_5_mean,feature_2_3_ratio,feature_2_4_interaction,total_service_usage
0.48855810291413493,0.5594607158720599,-0.4374717540896136,0.41083406679547024,1.3632136143816969,-1.1568397298015827,-1.218680982192173,-1.1057967320624895,1,2,0,0,1,1.048144090540572,0.0033713759232057478,-0.554624669198482,-0.2923650450701699
-0.1348373772647646,-0.030220280201660153,-0.00029329755336364113,0.20120782536637036,1.224232193008736,-1.3085831255520617,-1.255315010599211,-0.9581414072745486,0,1,1,0,0,0.5538697540100207,0.15566305474018466,-0.731306259989067,-0.6029922195904629
0.6367784853029205,0.6807813936616578,-0.5150162768434515,0.8382850356474656,-0.4292681719558029,1.0294445481140775,1.1132566301382203,0.7381818622907502,1,3,0,0,1,0.5325391011498486,0.0033106997911128994,-0.2993720793521068,1.0909662325450937
1.4961522449200715,1.296858636911661,-1.6536668644342232,1.2977357044976252,1.5317006353740006,1.8111162472053735,1.9847332948118503,1.6762076639041366,1,3,0,1,0,1.744469866556263,0.00406918415235676,0.533606316530867,2.5167445738439933
-0.2289772880872827,-0.24374372073507955,0.3839648525239292,-0.21167146163271844,1.0613019650598623,0.1137024532933768,0.8749648276474242,-0.19962048541924357,0,1,0,0,1,0.33444087384947113,0.004280012554097569,-0.6881149348191569,0.4131789790410183
-0.22896116979833028,-0.34135616487383436,0.1779548734220757,-0.33919368967780006,1.2200900905747432,-0.17170461723401023,0.42380939259175854,-0.40896624509275287,0,1,1,0,0,0.21473416510516172,0.0024695921685057402,-0.6400422841710599,0.08841746120054914
1.5513103412852736,1.521508124489442,-1.9377246235956855,1.6218456062676523,1.5014022341305358,1.0761671872356937,1.4328554868449304,0.8702563937321147,1,3,1,0,0,1.871745997016559,0.004067814762537036,1.121235339099218,2.0360418714932567
0.7543403234706535,0.8446310250623386,-0.9723144979049846,0.6931433628354449,1.5175006242989837,0.35685904235964805,0.7599494140207974,0.7314270666324176,1,3,1,0,0,1.2471301932256977,0.003950043540248499,-0.2883173821789261,1.2490733086551276
-0.4600056856875359,-0.42846628401723447,0.38328777249593343,-0.25624026168920366,-0.8966191883786659,-0.0006433789231736072,-2.668219132117502,-2.355062624036961,0,1,1,0,0,-0.7287899353794128,0.003598556582483779,-0.644532259660585,-1.781283552759494
0.5335676946267598,0.6415572597846296,-0.27304097846365616,0.7151663622686182,-1.2858830972647173,1.0457593111215817,0.4032164145443444,1.6271524321032738,1,3,0,0,1,0.14565184126283304,0.001860649024214142,-0.3831489007814028,0.9083723237190066
-0.454059475871248,-0.4189824284635225,0.645144647389502,-0.46662516209604654,0.6649428963431827,-1.400556219029593,-0.9574666335561578,-1.0832100882290778,0,1,0,1,0,-0.013001623009824327,0.004259361388138399,-0.5803397287966053,-0.9252514277371315
-0.45632936111981753,-0.581311855111967,0.79290417821082,-0.6729753226276909,0.2227376089693174,-0.00956224071239524,-0.04999556815534573,0.2281998674767936,0,1,0,1,0,-0.30547483185898383,0.004141277486365892,-0.43378226838350703,-0.14031010918841383
0.2384532837443427,-0.00991876011736106,-0.00029329755336364113,0.15844610561826977,-0.5940072716313166,-0.4606709643295047,-0.44472582589425924,-0.7059139781083764,0,2,0,1,0,-0.0911270857552429,0.05456784894868606,-0.7279295598093118,-0.4848117485586459
-1.8774743267968388,-1.8528890985152848,1.814984767781107,-1.8796178330103968,0.6426858059637155,-0.6697342278206808,-0.13933250006050024,-0.6705349152048705,0,0,0,1,0,-1.3855921729699863,0.003735345983783845,1.8814080145809435,-1.2347781792815096
-1.692547931903906,-1.7044493723245444,1.695142010774478,-1.8381967420655414,-1.5134297818735607,0.0520086573414031,-0.4179325644220299,-0.23711390837648158,0,0,0,1,0,-2.2212483327492905,0.003757062528559735,1.6195901149507286,-1.5079186563195888
